,id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
7950,2018-452626,2018-05-23,Vente,1179832.0,34172,Montpellier,Maison,180.0,6.0,sols,500.0
7951,2018-452626,2018-05-23,Vente,1179832.0,34172,Montpellier,Maison,180.0,6.0,terrains d'agrément,1629.0
7964,2018-452634,2018-06-05,Vente,215000.0,34172,Montpellier,Maison,88.0,5.0,sols,334.0
8062,2018-452690,2018-05-24,Vente,508000.0,34172,Montpellier,Maison,180.0,6.0,sols,174.0
8233,2018-452792,2018-05-30,Vente,394580.0,34172,Montpellier,Maison,170.0,5.0,terrains d'agrément,884.0
8234,2018-452792,2018-05-30,Vente,394580.0,34172,Montpellier,Maison,170.0,5.0,sols,500.0
8247,2018-452798,2018-05-22,Vente,385000.0,34172,Montpellier,Maison,92.0,6.0,sols,487.0
8301,2018-452832,2018-06-04,Vente,441370.0,34172,Montpellier,Maison,83.0,4.0,sols,425.0
8386,2018-452882,2018-05-25,Vente,447000.0,34172,Montpellier,Maison,150.0,7.0,sols,713.0
8399,2018-452889,2018-06-12,Vente,189000.0,34172,Montpellier,Maison,62.0,3.0,sols,197.0
8405,2018-452892,2018-06-08,Vente,217000.0,34172,Montpellier,Maison,86.0,4.0,sols,138.0
8444,2018-452915,2018-06-05,Vente,775080.0,34172,Montpellier,Maison,130.0,4.0,sols,600.0
8445,2018-452915,2018-06-05,Vente,775080.0,34172,Montpellier,Maison,130.0,4.0,terrains d'agrément,5642.0
8501,2018-452952,2018-05-24,Vente,326800.0,34172,Montpellier,Maison,149.0,6.0,sols,597.0
8529,2018-452970,2018-05-24,Vente,128000.0,34172,Montpellier,Maison,60.0,3.0,sols,53.0
8533,2018-452973,2018-06-11,Vente,313058.0,34172,Montpellier,Maison,90.0,5.0,sols,119.0
8619,2018-453002,2018-06-05,Vente,485000.0,34172,Montpellier,Maison,90.0,5.0,sols,198.0
8626,2018-453006,2018-06-15,Vente,182000.0,34172,Montpellier,Maison,86.0,5.0,sols,150.0
8703,2018-453055,2018-06-12,Vente,920000.0,34172,Montpellier,Maison,226.0,9.0,sols,824.0
8722,2018-453067,2018-06-04,Vente,254000.0,34172,Montpellier,Maison,119.0,5.0,sols,391.0
8816,2018-453122,2018-06-13,Vente,296200.0,34172,Montpellier,Maison,82.0,4.0,sols,200.0
